Complex,logFC,AveExpr,t,P.Value,adj.P.Val,B,Lineage
PCAF complex,-0.07805644363733409,0.4083963325654916,-1.9001040620517549,0.057688590895504446,0.570437708463384,-4.124216428885815,Anaplastic Thyroid Cancer
PR-DUB,0.003572371473509398,0.19108004058717235,0.08787160572435077,0.9299951980351702,0.9753608174515199,-5.74447635789896,Anaplastic Thyroid Cancer
PRC1 (canonical and variant PCGF complexes),0.002259522493089837,0.0774263117434509,0.1772019505231262,0.8593833565728418,0.9748891655985605,-5.733807346281763,Anaplastic Thyroid Cancer
PRC2,-0.04268192796203818,0.2068612206504066,-1.611853581902629,0.10728920075432635,0.570437708463384,-4.578890862648693,Anaplastic Thyroid Cancer
Piccolo NuA4,0.013850771907158868,0.7310030581752486,0.23706018850383476,0.8126555612748716,0.9748891655985605,-5.722634924001147,Anaplastic Thyroid Cancer
RSF,0.026701199021643227,0.25863721200632345,0.45604979063267975,0.6484468939042947,0.9748891655985605,-5.654254116983342,Anaplastic Thyroid Cancer
SAGA,-0.06497107736689811,0.3105263303613374,-1.4423500282202857,0.14949684878264016,0.570437708463384,-4.811592588625871,Anaplastic Thyroid Cancer
SET1C/COMPASS,0.017889825182333348,0.589783839656728,0.3917157809416847,0.6953463753920898,0.9748891655985605,-5.678824008002634,Anaplastic Thyroid Cancer
SETDB1-ATF7IP/KAP1,-0.05672862105770034,0.2953410291228548,-0.860108907318059,0.3899220475452634,0.9748891655985605,-5.4147522275904825,Anaplastic Thyroid Cancer
SRCAP,-0.011026661387298914,0.8039866308943082,-0.31455068661019475,0.7531642656035583,0.9748891655985605,-5.703376789035534,Anaplastic Thyroid Cancer
STAGA/TFTC,-0.015373538442987928,0.252413731020777,-0.574324362526062,0.5658692435288382,0.9748891655985605,-5.599359022922723,Anaplastic Thyroid Cancer
SUV39H1/2-HP1,-3.5838138044596505e-4,0.10173277260252934,-0.01743359504769415,0.9860939638061885,0.9860939638061885,-5.747818483392768,Anaplastic Thyroid Cancer
WICH / B-WICH,0.004479162664032559,0.3771652369105695,0.05904663082321813,0.9529260132474651,0.9756147278485952,-5.746384495896809,Anaplastic Thyroid Cancer
mSin3A/HDAC,-0.016131915705793677,0.30224111428184264,-0.6584989589000856,0.5103594646938077,0.9748891655985605,-5.552620090324477,Anaplastic Thyroid Cancer
ncBAF (non-canonical BAF / bBAF),-0.0647795623885004,0.35936621971996374,-1.69184869734803,0.09096654468463283,0.570437708463384,-4.460146741053533,Anaplastic Thyroid Cancer
Lineage,NA,NA,NA,NA,NA,NA,B-Cell Acute Lymphoblastic Leukemia
ACF,0.13811419325489965,0.2940597214083108,2.818046760576742,0.004920832756003726,0.014106387233877348,-2.9557610783637065,B-Cell Acute Lymphoblastic Leukemia
ATAC,0.050935791464863725,0.2862401943992777,1.3781829217457116,0.16843547956591312,0.27856637005131785,-5.934010895732203,B-Cell Acute Lymphoblastic Leukemia
BAF (canonical/cBAF),0.15251993595522406,0.28103164933152663,6.587675788069989,6.999086119271709e-11,3.009607031286835e-9,14.187879629260236,B-Cell Acute Lymphoblastic Leukemia
BCOR complex,0.04317391980188082,0.07688398925835595,2.6023957293878923,0.009385664315482344,0.02374020973916122,-3.53062989566953,B-Cell Acute Lymphoblastic Leukemia
BRCA1-A,-0.06299441710482831,0.23973389480036114,-1.9986571296581432,0.04589858766285239,0.08581040302185447,-4.899293837833207,B-Cell Acute Lymphoblastic Leukemia
CAF-1,0.016633197597642993,0.9690249844625101,1.1487334267793035,0.25092307557146637,0.3853461517704662,-6.2207016949290574,B-Cell Acute Lymphoblastic Leukemia
CHRAC,0.06751494684433698,0.26206692106594376,1.7115815689635856,0.0872641512327018,0.15009434012024708,-5.425037845059471,B-Cell Acute Lymphoblastic Leukemia
DAXX-ATRX,0.23255572116141404,0.25018074947967495,3.930518609494499,9.02174820908604e-5,6.465586216511663e-4,0.7214528716032254,B-Cell Acute Lymphoblastic Leukemia
DNMT1-UHRF1,0.14578008840391685,0.7253934436802176,2.251678457907612,0.024545171633000403,0.05025916096281034,-4.36899773275452,B-Cell Acute Lymphoblastic Leukemia
Elongator,0.03460861001401071,0.7476231388617897,0.6606178363412424,0.5089998938377192,0.5759735640795243,-6.657701744118093,B-Cell Acute Lymphoblastic Leukemia
FACT,-0.005103042190127708,0.9846571827461597,-0.5300736710814535,0.5961710126660467,0.657316757554872,-6.734651292844389,B-Cell Acute Lymphoblastic Leukemia
G9a/GLP,0.04221182608223533,0.1813339326617885,0.9067420539083225,0.3647477543865467,0.44811866967490027,-6.4667774700164635,B-Cell Acute Lymphoblastic Leukemia
HAT1 complex,0.043208361559804724,0.5070069141011739,1.8639290513617426,0.0626058567314392,0.11216882664382857,-5.156097140996709,B-Cell Acute Lymphoblastic Leukemia
HBO1,0.10563952660230394,0.1272006936982836,4.966784957991427,7.920776805660599e-7,1.1353113421446859e-5,5.202348600290895,B-Cell Acute Lymphoblastic Leukemia
HIRA,0.04491341430250241,0.42351438993766954,1.0665284149432317,0.2864258814313585,0.39730041617898115,-6.3107789573288215,B-Cell Acute Lymphoblastic Leukemia
INO80,0.03679826705283333,0.6562516235772355,1.087932009488103,0.2768705805033183,0.39684783205475627,-6.287967912118159,B-Cell Acute Lymphoblastic Leukemia
LSD1-CoREST,0.08047225418160163,0.15410883043179746,2.9480910567218133,0.0032669940260804087,0.010034338794389827,-2.587319461434199,B-Cell Acute Lymphoblastic Leukemia
MLL1/MLL2 (KMT2A/KMT2B),0.12940557431874827,0.4921214235772354,3.699536868375967,2.2699955654327238e-4,9.760980931360712e-4,-0.1394533880530604,B-Cell Acute Lymphoblastic Leukemia
MLL3/MLL4 (KMT2C/KMT2D),0.024818613782338038,0.3775775624299912,0.8020793426534515,0.42268549893994967,0.504874345956051,-6.55528581808603,B-Cell Acute Lymphoblastic Leukemia
MOZ/MORF,0.09771731800193462,0.1292105213351399,3.880709489234778,1.1053071850708793e-4,6.789744136863974e-4,0.5315261554199289,B-Cell Acute Lymphoblastic Leukemia
MSL,0.06904812277565409,0.3698017822041551,2.736863513557681,0.0063057379444631054,0.016946670725744597,-3.177467426882111,B-Cell Acute Lymphoblastic Leukemia
Menin-MLL,0.11435527726785308,0.532817426829269,3.000995259446832,0.0027534880431210797,0.00910769121955434,-2.4327528172693142,B-Cell Acute Lymphoblastic Leukemia
NSL,-0.0041904919164797005,0.690279032429991,-0.2395767402117223,0.8107043592655678,0.8107043592655678,-6.8453549694085165,B-Cell Acute Lymphoblastic Leukemia
NURF,-0.01457877746515377,0.430541240740741,-0.4942067561578649,0.6212618021718602,0.6678564373347498,-6.752839964061642,B-Cell Acute Lymphoblastic Leukemia
NoRC,0.14447209120278184,0.2806835276856367,3.0620019203768147,0.0022536190031894844,0.00807546809476232,-2.251159249488164,B-Cell Acute Lymphoblastic Leukemia
NuA4/TIP60,0.0250218197498195,0.7442379977416442,1.0135380546979165,0.31103276045436024,0.40528511210719664,-6.365307811659987,B-Cell Acute Lymphoblastic Leukemia
NuRD (Mi-2/NuRD),0.015309528699519648,0.23344356913279152,1.0159841436950199,0.3098669936793949,0.40528511210719664,-6.362851768200603,B-Cell Acute Lymphoblastic Leukemia
PBAF,0.13515981317950576,0.3440632730803972,3.8122162225763834,1.4560177803036513e-4,7.826095569132126e-4,0.2741859448726922,B-Cell Acute Lymphoblastic Leukemia
PCAF complex,0.07864679270412941,0.4083963325654916,2.493949776248659,0.012783390711411923,0.03053810003281737,-3.8026557331962025,B-Cell Acute Lymphoblastic Leukemia
PR-DUB,-0.036075400892344275,0.19108004058717235,-1.1559556623093514,0.24795782311383047,0.3853461517704662,-6.2124690820185,B-Cell Acute Lymphoblastic Leukemia
PRC1 (canonical and variant PCGF complexes),0.0028559144443093447,0.0774263117434509,0.291766269700607,0.7705219864431067,0.7888677480250853,-6.831623229539507,B-Cell Acute Lymphoblastic Leukemia
PRC2,0.0498775772818643,0.2068612206504066,2.453719821887159,0.014297537950884077,0.03235758588884291,-3.9006573553318704,B-Cell Acute Lymphoblastic Leukemia
