CellLine,Lineage
ACH-000445,Diffuse Glioma
ACH-000446,Neuroblastoma
ACH-000448,Non-Small Cell Lung Cancer
ACH-000450,Melanoma
ACH-000452,Esophageal Squamous Cell Carcinoma
ACH-000454,Non-Small Cell Lung Cancer
ACH-000455,Diffuse Glioma
ACH-000458,Melanoma
ACH-000459,Renal Cell Carcinoma
ACH-000460,Ovarian Epithelial Tumor
ACH-000461,Intraductal Papillary Neoplasm of the Bile Duct
ACH-000463,Non-Small Cell Lung Cancer
ACH-000464,Diffuse Glioma
ACH-000466,Esophagogastric Adenocarcinoma
ACH-000467,Colorectal Adenocarcinoma
ACH-000468,Pancreatic Adenocarcinoma
ACH-000469,Diffuse Glioma
ACH-000470,Colorectal Adenocarcinoma
ACH-000471,Hepatocellular Carcinoma
ACH-000472,Head and Neck Squamous Cell Carcinoma
ACH-000473,Bladder Urothelial Carcinoma
ACH-000475,Hepatocellular Carcinoma
ACH-000476,Hepatocellular Carcinoma
ACH-000477,Melanoma
ACH-000478,Hepatocellular Carcinoma
ACH-000479,Diffuse Glioma
ACH-000480,Hepatocellular Carcinoma
ACH-000481,Non-Small Cell Lung Cancer
ACH-000483,Hepatocellular Carcinoma
ACH-000484,Renal Cell Carcinoma
ACH-000485,Esophagogastric Adenocarcinoma
ACH-000486,Bladder Urothelial Carcinoma
ACH-000487,Acute Myeloid Leukemia
ACH-000488,Esophageal Squamous Cell Carcinoma
ACH-000489,Colorectal Adenocarcinoma
ACH-000490,Cervical Squamous Cell Carcinoma
ACH-000491,Colorectal Adenocarcinoma
ACH-000493,Hepatocellular Carcinoma
ACH-000495,Renal Cell Carcinoma
ACH-000496,Non-Small Cell Lung Cancer
ACH-000498,Acute Myeloid Leukemia
ACH-000499,Ewing Sarcoma
ACH-000500,Head and Neck Squamous Cell Carcinoma
ACH-000501,Colorectal Adenocarcinoma
ACH-000502,Pancreatic Adenocarcinoma
ACH-000503,Head and Neck Squamous Cell Carcinoma
ACH-000504,Diffuse Glioma
ACH-000507,Esophagogastric Adenocarcinoma
ACH-000510,Non-Small Cell Lung Cancer
ACH-000511,Non-Small Cell Lung Cancer
ACH-000512,Mature B-Cell Neoplasms
ACH-000514,Lung Neuroendocrine Tumor
ACH-000515,Lung Neuroendocrine Tumor
ACH-000517,Pancreatic Adenocarcinoma
ACH-000518,Head and Neck Squamous Cell Carcinoma
ACH-000519,T-Lymphoblastic Leukemia/Lymphoma
ACH-000520,Ovarian Epithelial Tumor
ACH-000521,Non-Small Cell Lung Cancer
ACH-000522,Bladder Urothelial Carcinoma
ACH-000524,Ovarian Epithelial Tumor
ACH-000525,Lung Neuroendocrine Tumor
ACH-000527,Ovarian Epithelial Tumor
ACH-000528,Non-Small Cell Lung Cancer
ACH-000532,Colorectal Adenocarcinoma
ACH-000533,Rhabdoid Cancer
ACH-000535,Pancreatic Adenocarcinoma
ACH-000537,Hepatocellular Carcinoma
ACH-000541,Mature B-Cell Neoplasms
ACH-000542,Ovarian Epithelial Tumor
ACH-000544,Esophageal Squamous Cell Carcinoma
ACH-000545,Bladder Urothelial Carcinoma
ACH-000546,Head and Neck Squamous Cell Carcinoma
ACH-000547,Bladder Urothelial Carcinoma
ACH-000548,Head and Neck Squamous Cell Carcinoma
